2017년,경복궁(주·야간 착용자),창덕궁(주·야간 착용자),덕수궁(주·야간 착용자),창경궁(주·야간 착용자),종묘(주간 착용자)
1월," 19,290 "," 2,884 ", 213 , 599 , 35 
2월," 26,073 "," 4,106 ", 201 , 954 , 27 
3월," 31,920 "," 5,676 ", 345 ," 1,472 ", 69 
4월," 60,124 "," 10,644 ", 836 ," 4,814 ", 41 
5월," 62,874 "," 9,099 ", 829 ," 3,950 ", 64 
6월," 33,979 "," 4,753 ", 344 ," 1,876 ", 59 
7월," 29,236 "," 5,957 ", 182 ," 1,455 ", 38 
8월," 33,307 "," 5,392 ", 159 ," 1,009 ", 51 
9월," 51,856 "," 8,425 ", 820 ," 1,624 ", 106 
10월," 88,640 "," 16,269 "," 3,650 "," 4,952 ", 280 
11월," 46,084 "," 12,339 ", 469 ," 1,537 ", 45 
12월," 25,518 "," 5,225 ", 156 , 417 , 42 